                  relname                  | reltuples | relpages 
 link2_seq                                 |         1 |        1
 problem_log                               |        35 |        1
 reciprocal_link_cat                       |         6 |        1
 pg_foreign_table_relid_index              |         0 |        1
 image_slider_image                        |        10 |        1
 continent                                 |         8 |        1
 pg_tablespace                             |         2 |        1
 pg_auth_members                           |         3 |        1
 pg_shdescription                          |         3 |        1
 tab                                       |         2 |        1
 link_category                             |         6 |        1
 pg_extension                              |         1 |        1
 img_map_seq                               |         1 |        1
 sql_parts                                 |         9 |        1
 pg_toast_88787                            |         2 |        1
 profile_type                              |         5 |        1
 sql_implementation_info                   |        12 |        1
 pg_namespace                              |         6 |        1
 image_slider_seq                          |         1 |        1
 link_map                                  |       155 |        1
 website_event_map                         |         4 |        1
 pg_database                               |         5 |        1
 pg_largeobject_loid_pn_index              |         0 |        1
 camp_keyword                              |        54 |        1
 template                                  |         2 |        1
 char_test                                 |         1 |        1
 sql_sizing                                |        23 |        1
 pg_default_acl_oid_index                  |         0 |        1
 sql_languages                             |         4 |        1
 enquiry_type                              |         4 |        1
 website                                   |         1 |        1
 profile_seasonaljobs                      |        21 |        1
 pg_pltemplate                             |         8 |        1
 comp_website_hp_map                       |         4 |        1
 pg_toast_5698039_index                    |         0 |        1
 website_category_map                      |        12 |        1
 act_app_seq                               |         1 |        1
 pg_toast_88359_index                      |         0 |        1
 profile_quota_history_id_key              |         0 |        1
 pg_toast_88817_index                      |         0 |        1
 pg_partitioned_table_partrelid_index      |         0 |        1
 pg_toast_88716_index                      |         0 |        1
 pg_toast_5537390_index                    |         0 |        1
 link_group                                |        10 |        1
 profile_types                             |        10 |        1
 url_maker_test                            |         3 |        1
 pg_toast_88733_index                      |         0 |        1
 pg_toast_3381_index                       |         0 |        1
 pg_user_mapping_user_server_index         |         0 |        1
 feature_sidebar                           |        10 |        1
 euser_seq                                 |         1 |        1
 price_range                               |         7 |        1
 pg_toast_3592_index                       |         0 |        1
 pg_toast_88382_index                      |         0 |        1
 pg_enum_typid_sortorder_index             |         0 |        1
 pg_toast_88279_index                      |         0 |        1
 pg_toast_2606_index                       |         0 |        1
 pg_publication_rel_prrelid_prpubid_index  |         0 |        1
 pg_toast_88569_index                      |         0 |        1
 contract_type                             |         6 |        1
 enquiry_seq                               |         1 |        1
 pg_toast_88626_index                      |         0 |        1
 pg_largeobject_metadata_oid_index         |         0 |        1
 pg_toast_88359                            |         0 |        0
 user_mappings                             |         0 |        0
 _pg_user_mappings                         |         0 |        0
 foreign_tables                            |         0 |        0
 user_mapping_options                      |         0 |        0
 pg_toast_88793                            |         0 |        0
 pg_toast_88382                            |         0 |        0
 pg_toast_2604                             |         0 |        0
 _pg_foreign_tables                        |         0 |        0
 foreign_servers                           |         0 |        0
 foreign_data_wrapper_options              |         0 |        0
 foreign_server_options                    |         0 |        0
 _pg_foreign_data_wrappers                 |         0 |        0
 pg_file_settings                          |         0 |        0
 column_options                            |         0 |        0
 _pg_foreign_table_columns                 |         0 |        0
 element_types                             |         0 |        0
 view_column_usage                         |         0 |        0
